"SERIES","ESU","SPECIES","METHOD","MAJOR_POPULATION_GROUP","NMFS_POPID","POPULATION_NAME","COMMON_POPULATION_NAME","DISPLAY_ORDER","RUN_TIMING","STREAM_NAME","YEAR","NUMBER_OF_SPAWNERS","FRACWILD","CATCH","CONTRIBUTOR","COMPILER","CITATION","LINE_NOTES"
"ICSRSSchinookSurveySBT2020","Salmon, Chinook (Snake River spring/summer-run ESU)","Chinook salmon","Survey","Upper Salmon","99","Yankee Fork","Yankee Fork","5.7","Spring","Yankee Fork","2008","538","0.35","-99","Shoshone-Bannock Tribe","Mari Williams","Snake River spring/summer Chinook Natural Origin Spawner Abundance Dataset (2008-2018). Spawner abundance data. Shoshone-Bannock Tribes. Excerpted from yearly reports available at https://www.cbfish.org/PiscesPublication.mvc/SearchByTitleDescriptionAuthorOrDate.",""
"ICSRSSchinookSurveySBT2020","Salmon, Chinook (Snake River spring/summer-run ESU)","Chinook salmon","Survey","Upper Salmon","99","Yankee Fork","Yankee Fork","5.7","Spring","Yankee Fork","2009","196","0.61","-99","Shoshone-Bannock Tribe","Mari Williams","Snake River spring/summer Chinook Natural Origin Spawner Abundance Dataset (2008-2018). Spawner abundance data. Shoshone-Bannock Tribes. Excerpted from yearly reports available at https://www.cbfish.org/PiscesPublication.mvc/SearchByTitleDescriptionAuthorOrDate.",""
"ICSRSSchinookSurveySBT2020","Salmon, Chinook (Snake River spring/summer-run ESU)","Chinook salmon","Survey","Upper Salmon","99","Yankee Fork","Yankee Fork","5.7","Spring","Yankee Fork","2010","61","1","-99","Shoshone-Bannock Tribe","Mari Williams","Snake River spring/summer Chinook Natural Origin Spawner Abundance Dataset (2008-2018). Spawner abundance data. Shoshone-Bannock Tribes. Excerpted from yearly reports available at https://www.cbfish.org/PiscesPublication.mvc/SearchByTitleDescriptionAuthorOrDate.",""
"ICSRSSchinookSurveySBT2020","Salmon, Chinook (Snake River spring/summer-run ESU)","Chinook salmon","Survey","Upper Salmon","99","Yankee Fork","Yankee Fork","5.7","Spring","Yankee Fork","2011","202","0.53","-99","Shoshone-Bannock Tribe","Mari Williams","Snake River spring/summer Chinook Natural Origin Spawner Abundance Dataset (2008-2018). Spawner abundance data. Shoshone-Bannock Tribes. Excerpted from yearly reports available at https://www.cbfish.org/PiscesPublication.mvc/SearchByTitleDescriptionAuthorOrDate.",""
"ICSRSSchinookSurveySBT2020","Salmon, Chinook (Snake River spring/summer-run ESU)","Chinook salmon","Survey","Upper Salmon","99","Yankee Fork","Yankee Fork","5.7","Spring","Yankee Fork","2012","340","0.85","-99","Shoshone-Bannock Tribe","Mari Williams","Snake River spring/summer Chinook Natural Origin Spawner Abundance Dataset (2008-2018). Spawner abundance data. Shoshone-Bannock Tribes. Excerpted from yearly reports available at https://www.cbfish.org/PiscesPublication.mvc/SearchByTitleDescriptionAuthorOrDate.",""
"ICSRSSchinookSurveySBT2020","Salmon, Chinook (Snake River spring/summer-run ESU)","Chinook salmon","Survey","Upper Salmon","99","Yankee Fork","Yankee Fork","5.7","Spring","Yankee Fork","2013","423","0.87","-99","Shoshone-Bannock Tribe","Mari Williams","Snake River spring/summer Chinook Natural Origin Spawner Abundance Dataset (2008-2018). Spawner abundance data. Shoshone-Bannock Tribes. Excerpted from yearly reports available at https://www.cbfish.org/PiscesPublication.mvc/SearchByTitleDescriptionAuthorOrDate.",""
"ICSRSSchinookSurveySBT2020","Salmon, Chinook (Snake River spring/summer-run ESU)","Chinook salmon","Survey","Upper Salmon","99","Yankee Fork","Yankee Fork","5.7","Spring","Yankee Fork","2014","260","0.89","-99","Shoshone-Bannock Tribe","Mari Williams","Snake River spring/summer Chinook Natural Origin Spawner Abundance Dataset (2008-2018). Spawner abundance data. Shoshone-Bannock Tribes. Excerpted from yearly reports available at https://www.cbfish.org/PiscesPublication.mvc/SearchByTitleDescriptionAuthorOrDate.",""
"ICSRSSchinookSurveySBT2020","Salmon, Chinook (Snake River spring/summer-run ESU)","Chinook salmon","Survey","Upper Salmon","99","Yankee Fork","Yankee Fork","5.7","Spring","Yankee Fork","2015","117","0.86","-99","Shoshone-Bannock Tribe","Mari Williams","Snake River spring/summer Chinook Natural Origin Spawner Abundance Dataset (2008-2018). Spawner abundance data. Shoshone-Bannock Tribes. Excerpted from yearly reports available at https://www.cbfish.org/PiscesPublication.mvc/SearchByTitleDescriptionAuthorOrDate.",""
"ICSRSSchinookSurveySBT2020","Salmon, Chinook (Snake River spring/summer-run ESU)","Chinook salmon","Survey","Upper Salmon","99","Yankee Fork","Yankee Fork","5.7","Spring","Yankee Fork","2016","141","0.89","-99","Shoshone-Bannock Tribe","Mari Williams","Snake River spring/summer Chinook Natural Origin Spawner Abundance Dataset (2008-2018). Spawner abundance data. Shoshone-Bannock Tribes. Excerpted from yearly reports available at https://www.cbfish.org/PiscesPublication.mvc/SearchByTitleDescriptionAuthorOrDate.",""
"ICSRSSchinookSurveySBT2020","Salmon, Chinook (Snake River spring/summer-run ESU)","Chinook salmon","Survey","Upper Salmon","99","Yankee Fork","Yankee Fork","5.7","Spring","Yankee Fork","2017","31","1","-99","Shoshone-Bannock Tribe","Mari Williams","Snake River spring/summer Chinook Natural Origin Spawner Abundance Dataset (2008-2018). Spawner abundance data. Shoshone-Bannock Tribes. Excerpted from yearly reports available at https://www.cbfish.org/PiscesPublication.mvc/SearchByTitleDescriptionAuthorOrDate.",""
