"SERIES","ESU","SPECIES","METHOD","MAJOR_POPULATION_GROUP","NMFS_POPID","POPULATION_NAME","COMMON_POPULATION_NAME","DISPLAY_ORDER","RUN_TIMING","STREAM_NAME","YEAR","NUMBER_OF_SPAWNERS","FRACWILD","CONTRIBUTOR","COMPILER","CITATION","LINE_NOTES"
"ICSRsthdSurvey","Steelhead (Snake River Basin DPS)","Steelhead","Survey","Lower Snake",300,"Asotin Creek","Asotin Ck.",1.1,NA,"Asotin Creek",1986,1269,0.81,"Washington Department of Fish and Wildlife","Mari Williams","Snake River Steelhead Natural Origin Spawner Abundance Dataset (1986-2018). Spawner abundance data. Washington Department of Fish and Wildlife. Protocol and Methods available at https://fortress.wa.gov/dfw/score/score/. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/OAI.",NA
"ICSRsthdSurvey","Steelhead (Snake River Basin DPS)","Steelhead","Survey","Lower Snake",300,"Asotin Creek","Asotin Ck.",1.1,NA,"Asotin Creek",1987,831,0.73,"Washington Department of Fish and Wildlife","Mari Williams","Snake River Steelhead Natural Origin Spawner Abundance Dataset (1986-2018). Spawner abundance data. Washington Department of Fish and Wildlife. Protocol and Methods available at https://fortress.wa.gov/dfw/score/score/. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/OAI.",NA
"ICSRsthdSurvey","Steelhead (Snake River Basin DPS)","Steelhead","Survey","Lower Snake",300,"Asotin Creek","Asotin Ck.",1.1,NA,"Asotin Creek",1988,548,0.5,"Washington Department of Fish and Wildlife","Mari Williams","Snake River Steelhead Natural Origin Spawner Abundance Dataset (1986-2018). Spawner abundance data. Washington Department of Fish and Wildlife. Protocol and Methods available at https://fortress.wa.gov/dfw/score/score/. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/OAI.",NA
"ICSRsthdSurvey","Steelhead (Snake River Basin DPS)","Steelhead","Survey","Lower Snake",300,"Asotin Creek","Asotin Ck.",1.1,NA,"Asotin Creek",1989,370,0.67,"Washington Department of Fish and Wildlife","Mari Williams","Snake River Steelhead Natural Origin Spawner Abundance Dataset (1986-2018). Spawner abundance data. Washington Department of Fish and Wildlife. Protocol and Methods available at https://fortress.wa.gov/dfw/score/score/. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/OAI.",NA
"ICSRsthdSurvey","Steelhead (Snake River Basin DPS)","Steelhead","Survey","Lower Snake",300,"Asotin Creek","Asotin Ck.",1.1,NA,"Asotin Creek",1990,381,0.67,"Washington Department of Fish and Wildlife","Mari Williams","Snake River Steelhead Natural Origin Spawner Abundance Dataset (1986-2018). Spawner abundance data. Washington Department of Fish and Wildlife. Protocol and Methods available at https://fortress.wa.gov/dfw/score/score/. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/OAI.",NA
"ICSRsthdSurvey","Steelhead (Snake River Basin DPS)","Steelhead","Survey","Lower Snake",300,"Asotin Creek","Asotin Ck.",1.1,NA,"Asotin Creek",1991,418,0.8,"Washington Department of Fish and Wildlife","Mari Williams","Snake River Steelhead Natural Origin Spawner Abundance Dataset (1986-2018). Spawner abundance data. Washington Department of Fish and Wildlife. Protocol and Methods available at https://fortress.wa.gov/dfw/score/score/. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/OAI.",NA
"ICSRsthdSurvey","Steelhead (Snake River Basin DPS)","Steelhead","Survey","Lower Snake",300,"Asotin Creek","Asotin Ck.",1.1,NA,"Asotin Creek",1992,289,0.24,"Washington Department of Fish and Wildlife","Mari Williams","Snake River Steelhead Natural Origin Spawner Abundance Dataset (1986-2018). Spawner abundance data. Washington Department of Fish and Wildlife. Protocol and Methods available at https://fortress.wa.gov/dfw/score/score/. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/OAI.",NA
"ICSRsthdSurvey","Steelhead (Snake River Basin DPS)","Steelhead","Survey","Lower Snake",300,"Asotin Creek","Asotin Ck.",1.1,NA,"Asotin Creek",1993,1008,0.71,"Washington Department of Fish and Wildlife","Mari Williams","Snake River Steelhead Natural Origin Spawner Abundance Dataset (1986-2018). Spawner abundance data. Washington Department of Fish and Wildlife. Protocol and Methods available at https://fortress.wa.gov/dfw/score/score/. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/OAI.",NA
"ICSRsthdSurvey","Steelhead (Snake River Basin DPS)","Steelhead","Survey","Lower Snake",300,"Asotin Creek","Asotin Ck.",1.1,NA,"Asotin Creek",1994,253,0.9,"Washington Department of Fish and Wildlife","Mari Williams","Snake River Steelhead Natural Origin Spawner Abundance Dataset (1986-2018). Spawner abundance data. Washington Department of Fish and Wildlife. Protocol and Methods available at https://fortress.wa.gov/dfw/score/score/. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/OAI.",NA
"ICSRsthdSurvey","Steelhead (Snake River Basin DPS)","Steelhead","Survey","Lower Snake",300,"Asotin Creek","Asotin Ck.",1.1,NA,"Asotin Creek",1995,567,0.69,"Washington Department of Fish and Wildlife","Mari Williams","Snake River Steelhead Natural Origin Spawner Abundance Dataset (1986-2018). Spawner abundance data. Washington Department of Fish and Wildlife. Protocol and Methods available at https://fortress.wa.gov/dfw/score/score/. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/OAI.",NA
